Id,Name,Description,Add,Zipcode,Region,Town,Tel,Opentime,Website,Picture1,Picdescribe1,Picture2,Picdescribe2,Picture3,Picdescribe3,Px,Py,Class,Map,Parkinginfo
C3_371020000A_000329,盈春閣餐廳,盈春閣的傳奇美味 擁有３０餘年料理經驗的李主廚，對於餐飲經營有著一份執著與堅持，抱持著共同為金門地區餐飲品質提升盡一份心力的信念。 於去年初創立了「盈春閣」餐廳，大門進入，眼前呈現的是精細又典雅的裝潢，貼心的硬體設備及道道講求品質與口感的菜色，讓這裡成為當地不管是宴席、聚餐的最佳選擇。 來這兒用餐，就像在五星級餐廳裡，享受精緻的餐點與優雅的環境，大大滿足你的口感與視覺，盡情品味與體驗。 【特別推薦】千絲龍蝦:採用小金門的芋頭，外脆內滑的口感，讓您一口接著一口，捨不得停下來。 酸白菜紅蟳堡:金門的高粱酸白菜，把新鮮的紅蟳「吊引」出來，滋味真是迷人。 糖醋黃魚:最鮮美的黃魚與最道地的口味，酸甜好滋味，吃上一口就知道。,金門縣金寧鄉下后垵15號,892,金門縣,金寧鄉,886-82-320689,10:00~22:00,,,,,,,,118.329170,24.426720,03,,
C3_371020000A_000330,國慶飯店,提供舒適的用餐環境，服務親切，價格公道，歡迎蒞臨~~~~,金門縣金城鎮環島西路一段129號,893,金門縣,金城鎮,886-82-325247,09:00 AM ~ 17:00 PM,,,,,,,,118.321610,24.427240,03,,
C3_371020000A_000331,山西拌麵長榮商行,經營24年的老店是當地阿兵哥所愛。雖地處偏遠，但是「訂單」仍是落落長，每一份餐點都是現做的，想吃，可得有點耐心。店內裝潢樸實，甚至有些簡陋，但以客為尊、服務親切的氣氛，卻令所有熟客難忘。其中，超人氣必點的招牌麵食－山西拌麵，好吃更不在話下。麥芽雞則擁有甜而不膩，如同糖醋雞般的美味，粉嫩的肉質讓人食指大動，一嚐再嚐。椒鹽排骨是老闆自幼從老船長處習得而來的秘笈私房菜，口感獨特吃起來外酥內軟，深獲老饕喜愛。金門在地石蚵與雞蛋共舞的海蚵炒蛋，香味十足，令人口齒留香，念念難忘 。,金門縣金沙鎮三山里山西22號,890,金門縣,金沙鎮,886-82-351779,11:00-23:00,,,,,,,,118.430050,24.502640,03,,
C3_371020000A_000332,中南海中式餐廳素食館,位在金城鎮信用合作社旁，距離車站步行僅需五分鐘，已開業逾20(1990)年，是金門地區最早的素食餐館，提供宴席菜、便當及自助餐。餐點可依使用者習慣提供全素或奶蛋素等，菜色種類多樣化，料理口味非常豐富，並有提供素食的金門特色菜，例如燕(宴)菜等；另除了便當外，自助餐每天約有十種菜色供選擇，並附湯 。,金門縣金城鎮民生路27巷1之1號,893,金門縣,金城鎮,886-82-321561,09:00~17:00,,,,,,,,118.319230,24.434580,08,,
C3_371020000A_000333,三犬西餐廳,三犬西餐廳位於金門縣金城鎮，自1983年開業至今，歡迎所有來到金門縣民或是來到金門觀光的人，都能來店裡品嚐三犬西餐廳獨特的美味佳餚。為什麼叫三犬？理由很簡單，因為老闆家中有三個兄弟，所以命名之。三犬西餐廳的室內布置是很民歌西餐廰的感覺，不管是店面的佈置、餐具的擺設到整家店的氛圍都讓人感受到很六○年代的氣氛。不只如此，在牆面上一張張大幅的圖騰更讓人印象深刻之處，一幅幅以音樂為主題的圖畫，彷彿置身民歌西餐廳當中。當您來到金門時，不妨來試試金門道地、口味獨特的三犬西餐廳，保證會讓您回味無窮的～,金門縣金城鎮珠浦北路28之1號,893,金門縣,金城鎮,886-82-325926,09:00-22:00,,,,,,,,118.317740,24.433420,01,,
C3_371020000A_000334,加州比薩屋,這家位於金門縣金城鎮的加州披薩屋，是金門著名的披薩專賣店，全金門僅此一家PIZZA店，所以不管多遠都可外送；食材都從台灣進來，食材新鮮，品質優良。販售各式美味現做披薩，有多種口味任君挑選，還有不定時推出的優惠活動。除了披薩之外，還有眾多美味副食品供您選購喔，包含牛肉堡、香烤半雞、貝果、雞塊、雞翅、香蒜麵包等，家庭親友聚會時不知道要吃什麼嗎?歡迎來電加州披薩屋，加州披薩屋還有提供外送的服務喔!!,金門縣金城鎮光前路39之3號,893,金門縣,金城鎮,886-82-311891,10 : 00 – 21 : 00,,,,,,,,118.315830,24.432400,01,,
C3_371020000A_000335,紅屋頂餐飲,紅屋頂是金門相當獨具浪漫特色的西餐廳，白天與夜晚有截然不同的景色。紅屋頂的老闆娘用心營造出浪漫舒適的氣氛與擺設，情侶、三五好友，聚餐、約會最是適合不過。掌燈時分，柔和的燈火營造出溫馨浪漫的氣氛，遍嚐各式觸動味蕾的美食。經營的時間已有15年以上，店頭牆上掛著許多電影海報，特殊的氛圍，引領食客進入嶄新的情境  。,金門縣金湖鎮新湖里漁村78、79號,891,金門縣,金湖鎮,886-82-334585,10:00-22:00,,,,,,,,118.405380,24.435800,09,,
C3_371020000A_000336,爵士義大利,成立1999至今，逾12年，在極簡質樸的木造建築外有翠綠植栽包圍，走進店內充滿悠閒靜謐的異國風情，招牌餐點有義式蘑菇湯、墨汁麵(飯)、海鮮蕃茄義大利麵、去骨台塑牛小排、明蝦雞排及提拉米蘇都是頗受客人好評的美食。,金門縣金城鎮珠浦西路20號,893,金門縣,金城鎮,886-82-373373,10:00 ~ 22:00,,,,,,,,118.315370,24.435750,01,,
C3_371020000A_000337,就是十樓,位在民生路上大樓的十樓，在其間可一覽金城及金寧地區美景，天花板的木作為金門地圖，牆上掛著金門老照片等，是一間以金門為主題的餐廳。提供各式簡餐、小火鍋及各式調酒。餐點皆由店內廚師烹煮，非使用調理包，料多實在，口味也符合一般大眾，餐後可點杯以高粱酒為基酒的螺絲起子，品嚐一下高粱酒的香醇，欣賞金門的寧靜 。,金門縣金城鎮民生路43號10樓,893,金門縣,金城鎮,886-82-373662,10:00~24:00,,,,,,,,118.319010,24.435450,01,,
C3_371020000A_000338,集成小吃部,回味無窮的小吃美食 當年國軍陸續從大陸撤退後齊聚於金門小島，造成當地飲食人口劇增。來自不同省份的國軍們，彼此間的飲食習慣不盡相同，對當地的飲食文化造成很大的轉變。 因緣際會中，經由不同省份的師傅們教導各省傳統美食料理，再加上金門本地鮮材後，烹煮出最道地的口味，不但大受歡迎，也讓國軍們能夠再這裡一解故鄉情懷。 因此集天下美味之大成的集成之名進而產生，現在的集成保留各省傳統風味後，結合金門地區料理方式，研製出最道地、美味的各式美食。 【特別推薦】冷凍蹄膀:獨家秘方調味醃製入味，經由多道過程製作，吃起來口感香鮮順口，Ｑ勁十足。 鍋貼:黃金比例的內餡、香Ｑ帶勁外皮，現買現包，新鮮、美味１００分。 刀削麵:嚼勁十足的麵條加上特調湯頭，道地好口味，值得細細品嚐。,金門縣金城鎮中興路8號,893,金門縣,金城鎮,886-82-325607,AM09:00-PM05:00,,,,,,,,118.316410,24.432130,09,,
C3_371020000A_000339,順興小吃店,當地著名小吃餐廳，老闆運用新鮮食材及絕佳的廚藝，頗受遊客或在地人的喜愛。,金門縣金湖鎮下莊光武路23號,891,金門縣,金湖鎮,886-82-331896,11:00～18:00,,,,,,,,118.426350,24.451410,03,,
C3_371020000A_000340,香百合,當地風味小吃餐館,金門縣金城鎮民族路224號,893,金門縣,金城鎮,886-82-325185,11:00~18:00,,,,,,,,118.316000,24.430240,03,,
C3_371020000A_000341,閩式燒餅,位在金門金沙鎮閩式燒餅專賣店，這家閩式燒餅開業三十幾年的歷史，有人說來金門沒來吃閩式燒餅就不算來金門。燒餅是金門人早期的早餐，也是金門阿兵哥的最愛，阿兵哥返台都會帶回台灣，慢慢成為帶回台灣的拌手禮..，這燒餅好吃地方在於皮酥餡軟，燒餅有分甜:跟鹹兩種口味都好吃，鹹燒餅跟甜燒餅每個十二元(每盒十個)，從早上賣到下午五六點左右，下午二點半左右出爐。,金門縣金沙鎮博愛街48號,890,金門縣,金沙鎮,886-82-352922,06:00~18:00,,,,,,,,118.413130,24.489970,06,,
C3_371020000A_000342,榮發小吃店,金門當地著名風味小吃攤，適合三五好友聚餐。,金門縣金城鎮中興路146巷6之3號,893,金門縣,金城鎮,886-82-327395,10:00～18:00,,,,,,,,118.319160,24.433610,03,,
C3_371020000A_000343,鴻美餐飲,座落在山外的小巷中，不容易找著，但確有著不少遊客及當地人皆堅持要到鴻美，只為一嚐嘗夢幻料理。炒泡麵是鴻美最有名的一道招牌菜，起因於當時店裡沒有油麵，又迫於為一位軍官料理，老闆靈機一動，改由泡麵代替油麵，進而發現炒泡麵的十足美味，就這樣留傳至今。另外炒泡麵也是親朋好友們相邀一同齊聚的必點的好菜；夏天來杯冰啤酒、冬天小酌一杯金門高粱酒，搭配鮮甜順口的蚵仔湯，讓每個來到鴻美的顧客都洋溢幸福而歸 。,金門縣金湖鎮山外里安民2號,891,金門縣,金湖鎮,886-82-332600,08:00~22:00,,,,,,,,118.431460,24.446220,03,,
C3_371020000A_000344,金岐小吃店,金門當地著名風味小館，餐點具在地特色，令人食指大動～～～,金門縣金湖鎮中興路48號,891,金門縣,金湖鎮,886-82-331694,10:00~18:00,,,,,,,,118.414650,24.441170,03,,
C3_371020000A_000345,金城蔥油餅,金門風味小吃~~~頗受當地人用來當早餐，遊客更是喜歡。,金門縣金城鎮莒光路26巷16號,893,金門縣,金城鎮,886-82-326669,06:30-11:30,,,,,,,,118.318380,24.432000,03,,
C3_371020000A_000346,金一餅店,金一燒餅位於金城鎮，通常從早上6點開始賣，賣完就打烊了，但有時候9點就賣完，所以不是每次都保證買得到(每個12元)。,金門縣金城鎮民族路191號,893,金門縣,金城鎮,886-82-325146,6:00~售完為止,,,,,,,,118.317150,24.430060,06,,
C3_371020000A_000347,妙香小吃店,雖然隱藏在小巷底，但有機會來這一定要品嘗招牌、鍋貼、酸辣湯、滷味、炒泡麵 ~~保證讚不絕口!!!,金門縣金城鎮民生路45巷2弄9號,893,金門縣,金城鎮,886-82-328767,10:00～18:00,,,,,,,,118.318170,24.436180,03,,
C3_371020000A_000349,標記小食店,於1960年開業，位於金門東門菜市場內，提供在地傳統的料理，搭配金門的燒餅、油條，滿足您的味蕾。早期金門駐防十萬大軍時，為阿兵哥們經常光顧老店。本店外觀是由傳統木門接合(已有50年歷史)，為一大特色，也是消費者共同印象，因此電影「夏天協奏曲」也在此取景拍攝。很多退伍軍人再次踏入金門觀光時，都會再回到店裡尋找記憶中美好的滋味 。,金門縣金城鎮民族路93巷5弄1號,893,金門縣,金城鎮,886-82-325118,06:00~14:00,,,,,,,,118.319550,24.429860,09,,
C3_371020000A_000350,輝煌小吃店,金門小吃的第一選擇，最多最豐富的金門小吃資訊內容盡在輝煌小吃店!,金門縣金湖鎮中興路16號,891,金門縣,金湖鎮,886-82-330711,暫無資料,,,,,,,,118.415180,24.440840,03,,
C3_371020000A_000351,呷爸,「呷爸」成立二年多，但提供的簡餐、小吃原料都來自於本地與台灣。老闆的本意是為了讓金門在地人有更多的餐廰空間可以做選擇，因而開此家店面。在「呷爸」餐廰提供了炒飯、炒麵、燴飯、水餃以及店家大推的熱銷商品-牛肉麵。店面小小的不是很起眼，但老闆的用心經營與著重餐點的美味。人氣餐點如「櫻花蝦炒飯、印尼乾拌麵、辣子雞丁飯、苦瓜鹹蛋、炒三鮮、客家小炒、蒜苗五花肉、三杯雞」都是人氣餐點，來到這一定要點來吃吃看！,金門縣金城鎮民權路111號之3,893,金門縣,金城鎮,886-82-312232,11:00-14:30 ；16:30-20:30,,,,,,,,118.315700,24.434320,03,,
C3_371020000A_000353,永來香小吃店,石蚵、芋頭、牛肉、海鮮、怎麼吃才叫來過金門？永來香帶您盡享道地離島風味！,金門縣金城鎮莒光路一段17號,893,金門縣,金城鎮,886-82-321470,,,,,,,,,118.319040,24.430710,03,,
C3_371020000A_000354,三寶齋,三寶齋燒餅位於模範街上，老闆郭文禮，從事燒餅製作已經20多年，祖傳三代經不斷改良的在地好滋味，取名「三寶齋」，之所以如此取名，是因為當年有三個寶貝女兒，所以鄰居風獅爺陶藝家王明宗幫他取店名為「三寶齋」。純手工製作、新鮮美味、聞之香甜、嚐之酥軟，主要特色用料實在，餅皮上刷上蛋汁，燒餅即使放涼還很酥，全程製作皆以手工完成，以慢火烘烤。甜口味:仿若千層派的橫切面，真的是很酥，常常一不小心就會掉餅屑，很扎實的口感，麥芽的香味，包蔗糖所以很清甜、爽口。鹹口味:使用豬腿肉及蔥與獨門配方，調製而成，以及不加味素的健康需求，肉餡的水分、鹹適度與口感值得您來品嚐。,金門縣金城鎮模範街10號,893,金門縣,金城鎮,886-82-325949,早上10:00~晚上(賣完為止),,,,,,,,118.319240,24.431880,06,,
C3_371020000A_000355,一六八小吃店,石蚵、芋頭、牛肉、海鮮、怎麼吃才叫來過金門？一六八帶您盡享道地離島風味！,金門縣金城鎮民權路43號,893,金門縣,金城鎮,886-82-327574,,,,,,,,,118.313980,24.432060,03,,
C3_371020000A_000356,泉三肉粽大王,泉三肉粽二代經營下來，此店除了好吃的肉粽外，最傳統的就是他們店的門(窗)板，那就是一塊塊拼湊起來的門板。為了避免搞錯，所以一片片門板上還有記號，十分古意盎然！泉三肉粽大王位在金城鎮中興路五號，就在城隍廟前方。特色:滿滿餡料，五花滷肉入口即化。,金門縣金城鎮中興路5號,893,金門縣,金城鎮,886-82-325670,09:00~17:00,,,,,,,,118.316360,24.432220,09,,
C3_371020000A_000357,阿婆麵線,用挫冰機做的， 可放一年， 可搭配金門好吃的肉燥拌著吃~~~以傳統手工製麵技術，引用金門純淨水質 ，配合當地獨特天候，經由風、陽光自然曝曬乾燥，常溫隨意存放，絕不發霉，變質，亦不失原有口味，不添加防腐劑、不漂白、不必放入冰箱保存。,金門縣金城鎮菜市場路37號,893,金門縣,金城鎮,886-82-372351,10:00~20:00,,,,,,,,118.318870,24.431700,07,,
C3_371020000A_000358,紅磚屋食坊,便當小吃經營，物美價廉，可口衛生，歡迎品嚐 ~~商品項目:控肉飯、各式滷味、麵點、隨意小吃、飲料、各式湯品美味招牌:紅磚屋特製控肉飯,金門縣金沙鎮新興街48號,890,金門縣,金沙鎮,886-82-352249,10:30 ~ 19:00 本店每週四公休,,,,,,,,118.427590,24.477870,03,,
C3_371020000A_000359,成功鍋貼館,創立於1963年的成功鍋貼，由第一代陳允南老師傅創立，現在已傳到第二代了，店內以香噴噴的蛋汁鍋貼最為超人氣，皮Ｑ餡豐富，起鍋前淋下蛋汁，一口咬下，吃出手工麵皮的層次與彈性，加上熟透的內餡，汁鮮甜入口，雖是燙了舌頭亦是義無反顧地吞下。館內除了招牌鍋貼外，還有許多融合山東口味的大菜，也是食客不可錯過的，鮮嫩味美、份量十足，可謂道道好滋味；真是好吃到沒話說呢！,金門縣金湖鎮成功村99號之4,891,金門縣,金湖鎮,886-82-333979,11:00 ~ 19:30,,,,,,,,118.390040,24.439440,03,,
C3_371020000A_000360,民生美食館,招牌餐點:鍋貼酥酥脆脆的不油不膩，牛肉麵麵條也很有彈性~,金門縣金城鎮民權路50號,893,金門縣,金城鎮,886-82-328839,10:00~19:00,,,,,,,,118.313760,24.432080,03,,
C3_371020000A_000361,生記餛飩麵,位於金城車站附近巷內的「生記小吃店」已是許多老饕們不會錯過的美食小吃店，這家已經是經營四十年的老店，招牌是「餛飩」及「肉丸」，選用肉質鮮嫩的豬後腿肉，獨家醃製調味，以真材實料自製餛飩和肉丸。不管是餛飩的外皮、內餡以及捏肉丸子，老闆都親自動手不假他人，一口一個的份量滑溜順口，清爽不膩。現在只要向金門人提起餛飩、肉丸，會讓在地人聯想到的，就屬生記的小吃了。 【特別推薦】乾泡麵:陪伴我們一起長大的王子麵，淋上獨家調製香噴噴的肉燥，創造出令人意猶未盡的好滋味！ 餛飩肉丸麵線:以大骨熬成實實在在的湯底，配上老闆純手工自製的餛飩、肉丸，最後加上金門道地的麵線，料好、實在又便宜。 餛飩肉丸湯:厚實飽滿的餛飩、香Ｑ多汁的肉丸，再搭配大骨熬成的湯底，吃上一口馬上感受到鮮嫩多汁、滑溜溜的好滋味。,金門縣金城鎮珠浦北路5巷21之2號,893,金門縣,金城鎮,886-82-326739,AM9:00-PM9:00,,,,,,,,118.319230,24.433310,03,,
C3_371020000A_000362,老地方小吃店,石蚵、芋頭、牛肉、海鮮、怎麼吃才叫來過金門？老地方帶您盡享道地離島風味！,金門縣金城鎮中興路146巷6號,893,金門縣,金城鎮,886-82-329061,暫無資料,,,,,,,,118.319260,24.433520,03,,
C3_371020000A_000364,珍香小吃店,道地口味　真材實料好口碑 位於金城鎮形象商圈內的珍香小吃店，成立至今已三十多年的歷史了，而且是第一家本土風味的肉羹麵創始者，更榮獲全國食品評鑑的肉燥醬，並獲得多家電視媒體的採訪與介紹，絕對值得您來品嘗。【特別推薦】肉羹麵:由老闆娘親自調配的肉羹，咀嚼起來非常有勁再加上軟硬適中的麵線，吃起來香Ｑ對味。廣東粥:堅持傳統小火慢熬的方式，再加上各式美味材料，滿足的享受就在這一碗！肉燥麵、蚵仔麵線:獨家秘方製作的肉燥，加在麵裡最是對味；金門鮮美海蚵與傳統手工麵線，也來到金門不可錯過的一道地方料理哦！,金門縣金城鎮菜市場路4號,893,金門縣,金城鎮,886-82-327088,06:00-13:00 ; 16:00-19:00,,,,,,,,118.318580,24.431170,09,,
C3_371020000A_000365,榕榕園麵館,榕榕園是道地的川味小吃，開業至今十五年。榕榕園專賣紅燒牛肉麵、牛肉湯餃、鮮味餃子。外賣部份有:特製辣椒醬以及酸菜。每樣老闆都作得很專精，都是他的拿手菜！辣椒醬必須前一天晚上預約，隔天製好交貨，新鮮又好吃！,金門縣金湖鎮黃海路7號,891,金門縣,金湖鎮,886-82-331993,11:00~22:00(周四公休),,,,,,,,118.414700,24.442860,03,,
C3_371020000A_000366,廷傑飯店,金門餐廳口碑店家，平時總是高朋滿座，餐點經濟實惠又好吃.....,金門縣金沙鎮博愛街11號,890,金門縣,金沙鎮,886-82-352160,10:00～20:00,,,,,,,,118.413560,24.489350,09,,
C3_371020000A_000367,成功小吃店(新成功小吃店),吃完牛肉麵可順便看看旁邊的夏興風獅爺，還可以順路遊玩成功喔！,金門縣金湖鎮環島南路塔后段1巷5號,891,金門縣,金湖鎮,886-82-331373,,,,,,,,,118.408130,24.437540,03,,
C3_371020000A_000368,記德海鮮餐廳,〈一〉店家介紹 一、店家簡介及歷史:     記德海鮮餐廳創立於民國82年，老闆本身是走遍各地的廚師，以沿海的新鮮海產，用傳統加上創新的菜色，將最新鮮、最美味的菜餚提供給顧客並以平易近人的價格給顧客毫無壓力的消費，而老闆娘則是帶領著外場服務人員用最親切的服務態度使顧客有賓至如歸的感受。  二、店家經營理念:     本店秉持著以誠信、顧客至上、以最低消費帶給客人最舒適、最好的享受之理念在金門經營了18年，在這18年期間非常感恩各位顧客的朋場及愛戴，在未來的日子裡我們將繼續堅持這份理念，繼續為各位顧客提供更好更舒適的服務。 三、店家地址及聯絡方式:     地址:金門縣金城鎮民族路253號，金門縣立體育館前。     訂位專線:082-324461、0920486899。     營業時間:上午11:00-14:00、下午17:00-23:30。 四、店家特色菜:     高粱嗆蟹、塔炒颱,金門縣金城鎮民族路253號,893,金門縣,金城鎮,886-82-324461,11:00~14:00；17:00~24:00,,,,,,,,118.315720,24.430110,09,,
C3_371020000A_000369,老六小吃店,開業十五(1996)年老店，菜餚以傳統家鄉味著名，老闆本著三十多年廚藝經驗，保有金門最傳統的原始風味，小吃、宴客皆可供餐，因而有固定的消費群。特色餐點黃魚麵線是傳統金門古早味，以新鮮大骨精燉高湯，搭配鮮嫩多汁酥炸黃魚，營養價值甚高。蔥燒餅是獨家研發之特色餐點，以蔥油餅與燒餅結合的創意美食，精選香氣十足之本地蔥，搭配香酥外皮，深受觀光客喜愛 。,金門縣金城鎮民權路65號,893,金門縣,金城鎮,886-82-324068,11:00 ~ 20:00,,,,,,,,118.314140,24.432420,03,,
C3_371020000A_000370,寶成涮涮鍋,火鍋一向是很受消費者歡迎的飲食，但有人怕胖不敢多吃；無論是寒冷的冬季或酷熱的夏天，在品嚐好吃燙口的火鍋時，配搭暢飲一杯紅茶或是冬瓜茶，而擄獲不少老饕的胃；並改變了大家認為吃火鍋是冬天最佳選擇的印象。最近寶成重新整理過內部裝潢，經濟實惠的大眾鍋全面八折，是個適合同學聚會、商務洽談、好友晤面、犒賞員工、家庭聚餐的好地點，平價消費的不錯選擇 。,金門縣金城鎮浯江北堤路88之3號,893,金門縣,金城鎮,886-82-312565,AM11:00 ~ AM1:00 下午2點至晚上5點休息星期日至星期四晚上營業:5點至0點星期五至星期六晚上營業:5點至1點,,,,,,,,118.316690,24.429580,01,,
